dlls/winmm/tests/capture.ok          VALGRIND       28109       
dlls/twain_32/tests/dsm.ok           CRASHY         28133       
dlls/shell32/tests/shlfolder.ok      SYS            28216       
dlls/kernel32/tests/process.ok       NOTTY          28220       
dlls/kernel32/tests/pipe.ok          HEAP           28257       
dlls/kernel32/tests/pipe.ok          WICKED         28257       
programs/cmd/tests/batch.ok          HEAP           28258       
dlls/dsound/tests/ds3d8.ok           HEAP           28260       
dlls/dsound/tests/ds3d.ok            HEAP           28260       
dlls/mshtml/tests/style.ok           HEAP           28262       
dlls/winhttp/tests/winhttp.ok        SYS            28267       
programs/wscript/tests/run.ok        BAD64          28285       
dlls/shell32/tests/shelllink.ok      FLAKY          28290       
dlls/mshtml/tests/htmldoc.ok         FLAKY          28295       
dlls/riched20/tests/editor.ok        FLAKY          28298       
dlls/kernel32/tests/debugger.ok      FLAKY          28316       
dlls/urlmon/tests/protocol.ok        FLAKY          28323       
dlls/mshtml/tests/events.ok          FLAKY          28362       
dlls/mshtml/tests/htmllocation.ok    FLAKY          28362       
dlls/d3d9/tests/query.ok             ATI            28385       
dlls/d3d9/tests/visual.ok            ATI            28386       
dlls/d3d8/tests/device.ok            ATI            28387       
dlls/d3d9/tests/device.ok            ATI            28387       
dlls/winmm/tests/midi.ok             FLAKY          28388       
dlls/wininet/tests/http.ok           FLAKY          28394       
dlls/msvcrt/tests/string.ok          VALGRIND       28422       
dlls/qmgr/tests/enum_files.ok        HEAP           28470       
dlls/qmgr/tests/enum_jobs.ok         HEAP           28470       
dlls/qmgr/tests/file.ok              HEAP           28470       
dlls/qmgr/tests/job.ok               HEAP           28470       
dlls/qmgr/tests/qmgr.ok              HEAP           28470       
dlls/user32/tests/clipboard.ok       FLAKY          28472       
dlls/comctl32/tests/treeview.ok      SYS            28503       
dlls/oleaut32/tests/olepicture.ok    SYS            28503       
dlls/kernel32/tests/change.ok        FLAKY          28506       
dlls/user32/tests/monitor.ok         FLAKY          28508       
dlls/user32/tests/cursoricon.ok      FLAKY          28573       
dlls/msi/tests/install.ok            FLAKY          28609       
dlls/kernel32/tests/thread.ok        SYS            28640       
dlls/ole32/tests/clipboard.ok        FLAKY          28643       
dlls/mmdevapi/tests/dependency.ok    FLAKY          28653       
dlls/rpcrt4/tests/server.ok          FREEBSD        28659       
dlls/kernel32/tests/loader.ok        FREEBSD        28662       
dlls/qedit/tests/mediadet.ok         FREEBSD        28664       
dlls/qedit/tests/mediadet.ok         MAC            28664       
dlls/ntdll/tests/directory.ok        FREEBSD        28665       
dlls/ntdll/tests/directory.ok        MAC            28665       
dlls/ddraw/tests/ddrawmodes.ok       VALGRIND       28735       
